,City,ds,y
0,Ahmedabad,1/1/2015,166.4635815
1,Ahmedabad,1/2/2015,166.4635815
2,Ahmedabad,1/3/2015,166.4635815
3,Ahmedabad,1/4/2015,166.4635815
4,Ahmedabad,1/5/2015,166.4635815
5,Ahmedabad,1/6/2015,166.4635815
6,Ahmedabad,1/7/2015,166.4635815
7,Ahmedabad,1/8/2015,166.4635815
8,Ahmedabad,1/9/2015,166.4635815
9,Ahmedabad,1/10/2015,166.4635815
10,Ahmedabad,1/11/2015,166.4635815
11,Ahmedabad,1/12/2015,166.4635815
12,Ahmedabad,1/13/2015,166.4635815
13,Ahmedabad,1/14/2015,166.4635815
14,Ahmedabad,1/15/2015,166.4635815
15,Ahmedabad,1/16/2015,166.4635815
16,Ahmedabad,1/17/2015,166.4635815
17,Ahmedabad,1/18/2015,166.4635815
18,Ahmedabad,1/19/2015,166.4635815
19,Ahmedabad,1/20/2015,166.4635815
20,Ahmedabad,1/21/2015,166.4635815
21,Ahmedabad,1/22/2015,166.4635815
22,Ahmedabad,1/23/2015,166.4635815
23,Ahmedabad,1/24/2015,166.4635815
24,Ahmedabad,1/25/2015,166.4635815
25,Ahmedabad,1/26/2015,166.4635815
26,Ahmedabad,1/27/2015,166.4635815
27,Ahmedabad,1/28/2015,166.4635815
28,Ahmedabad,1/29/2015,209
29,Ahmedabad,1/30/2015,328
30,Ahmedabad,1/31/2015,500
31,Ahmedabad,2/1/2015,500
32,Ahmedabad,2/2/2015,500
33,Ahmedabad,2/3/2015,500
34,Ahmedabad,2/4/2015,294
35,Ahmedabad,2/5/2015,149
36,Ahmedabad,2/6/2015,190
37,Ahmedabad,2/7/2015,247
38,Ahmedabad,2/8/2015,379
39,Ahmedabad,2/9/2015,341
40,Ahmedabad,2/10/2015,256
41,Ahmedabad,2/11/2015,388
42,Ahmedabad,2/12/2015,288
43,Ahmedabad,2/13/2015,500
44,Ahmedabad,2/14/2015,500
45,Ahmedabad,2/15/2015,475
46,Ahmedabad,2/16/2015,500
47,Ahmedabad,2/17/2015,479
48,Ahmedabad,2/18/2015,500
49,Ahmedabad,2/19/2015,427
50,Ahmedabad,2/20/2015,500
51,Ahmedabad,2/21/2015,500
52,Ahmedabad,2/22/2015,500
53,Ahmedabad,2/23/2015,500
54,Ahmedabad,2/24/2015,411
55,Ahmedabad,2/25/2015,292
